Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,GA,2011,12,Male,18.0,Right-Handed,182,27.5,182,1,Car,25,.328,38,Football (American),100.0,50.0,200.0,,1000.0,1000.0,27,Right foot,145,100,Ring finger,August,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Physical education,6.5,8,4.0,Yes - broadband connection,Cell phone,60,58,12,4.5,4,0,5,1,2,99,3,15,23,.25,Some,Other,Rap/Hip hop,Telepathy,Happy,Other,"Wildlife, animals"
USA,DC,2010,12,Female,19.0,Right-Handed,180,28.5,190,1,Rail (Train/Tram/Subway),90,.578,1.27,Swimming,540.0,166.0,1000.0,,898.0,973.0,28.3,Right foot,8.2,7.5,Index finger,June,Summer,No,No,Meat,Juice,Art,7,16,4.0,No internet connection,Cell phone,0,0,0,1.20,0,0,0,0,0,6,0,2,0,4,Some,High school,Pop,Fly,Happy,Teacher,Health
USA,GA,2019,6,Female,12.0,Right-Handed,160,25,173,1,Bus,33,72,46,Dancing,1000.0,1000.0,1000.0,1000.0,100.0,100.0,23,Right foot,70,80,Ring finger,November,Fall,Yes,No,Desserts,Other,Music,4-5,1-2,5.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10-20,10,7,2-3,1-2,1,30min,0,3,1,0,1-2,0,0,Some,Other,Rap/Hip hop,Fly,Happy,Actor,"Wildlife, animals"
USA,GA,2011,6,Male,12.0,Right-Handed,152,25,149,1,Bus,10,0.312,31,Soccer,599.0,599.0,645.0,,1000.0,1000.0,24.5,Right foot,90,95,Ring finger,August,Fall,Yes,No,No favorite,Soft drink (caffeinated),Geography,10,7,5.0,Yes - broadband connection,Telephone,0,0,7,5,,,,,,,,,,,,,,,,,
USA,DC,2010,9,Male,14.0,Right-Handed,155,24,158,1,Walk,70,0.828,75,Football (American),,,,,,,24,Same length,9,10,,November,Fall,Yes,No,Poultry,Water,Physical education,7,10,4.0,No internet connection,Text messaging,70,70,4,2,3,1,4,4,2,3,1,5,0,0,Very little,High school,Other,Invisibility,,Coach or club leader,Religious
USA,GA,2017,9,Female,15.0,Right-Handed,182,28.57,205,2,Car,15,.32,35,Hockey (Ice),5.0,11.0,102.0,123.0,658.0,674.0,27,Right foot,77,81,Ring finger,October,Winter,Yes,No,Poultry,,Physical education,6,7,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,100,5,5,10,2,20,5,15,10,10,20,0,5,Some,Undergraduate degree,Rap/Hip hop,Super strength,Happy,Community leader or elder,Health
USA,FL,2014,12,Male,17.0,Right-Handed,175,27.5,181.5,1,Car,7,.28,34,Other,500.0,500.0,500.0,500.0,500.0,500.0,27.5,Same length,9,10,Ring finger,October,Fall,No,No,Seafood,Tea,Other,8,8,4.0,Yes - broadband connection,Cell phone,1,1,4,4,4,4,4,4,4,4,4,4,4,4,Some,Graduate degree,Country,Freeze time,Happy,Relative,Environment
USA,FL,2017,11,Female,17.0,Right-Handed,157,23,65,1,Car,15,0.738,44,Swimming,600.0,750.0,750.0,750.0,500.0,1000.0,23,Same length,85,62,Index finger,January,Summer,No,No,Seafood,Water,Science,8,4,3.0,Yes - broadband connection,Text messaging,50,20,5,5,5,5,5,5,5,5,5,5,0,5,Very little,Graduate degree,Techno/Electronic,Telepathy,Rich,Friend,"Wildlife, animals"
USA,GA,2010,12,Male,18.0,Right-Handed,122,25,175,1,Car,10,0.297,46,Walking/Hiking,800.0,800.0,900.0,,1000.0,1000.0,26,Left foot,10,8,Index finger,October,Fall,No,No,Meat,Tea,English,7,10,4.0,Yes - broadband connection,Text messaging,100,100,5,2,15,5,0,0,2,160,10,8,15,1,A lot,,Techno/Electronic,Freeze time,Rich,Business person,Religious
USA,DE,2020,12,Male,17.0,Ambidextrous,"5,10",10.5,63in,2,Car,5 min,2 sec,,Golf,0.0,500.0,0.0,500.0,1000.0,1000.0,10.5,Same length,3 in,3.5,Ring finger,December,Summer,Yes,No,Meat,Sports drink,Other,5-6,4,4.0,Yes - broadband connection,Cell phone,1,2,,,,,,,,,,,,,Some,Graduate degree,Other,Freeze time,Rich,Actor,Health
USA,GA,2023,11,Female,15.0,Left-Handed,66,24,68,1,Car,10,0.502,41,Soccer,578.0,337.0,487.0,647.0,75.0,326.0,25,Left foot,80,70,Index finger,September,Fall,No,No,Seafood,Water,Music,7,9,4.0,Yes - other,In person,52,45,55,4,6,20,40,4,13,11,22,8,0,5,Very little,Graduate degree,Country,Telepathy,Happy,Coach or club leader,"Arts, culture, sports"
USA,GA,2012,12,Female,17.0,Right-Handed,165,23.5,160,1,Car,15,3,15,Other,1000.0,950.0,950.0,950.0,500.0,500.0,23.5,Same length,14.5,13,Ring finger,October,Summer,No,No,Salads,Water,Social studies,8,9,3.0,Yes - broadband connection,Text messaging,150,160,7,1,12,21,0,0,1,3,3,1,0,0,A lot,Graduate degree,Country,Freeze time,Happy,Doctor or nurse,Environment
USA,GA,2021,12,Female,18.0,Right-Handed,174,26,147,2,Car,10,0.315,30,Cycling,850.0,500.0,845.0,900.0,930.0,950.0,25,Right foot,78,79,Ring finger,April,Winter,No,No,Desserts,Water,Other,6,13,5.0,Yes - broadband connection,Text messaging,8,3,0,0.5,5,7,0,1,35,1,42,7,0,7,Some,Undergraduate degree,Rhythm and blues (R&B),Fly,Rich,Other,Environment
USA,DC,2018,7,Male,13.0,Left-Handed,170,27,183,,Bicycle,20,0.441,15,Basketball,700.0,700.0,500.0,500.0,1000.0,1000.0,28,Left foot,95,90,Index finger,March,Summer,No,No,Salads,Juice,Physical education,7,4,2.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,50,50,168,10,10,168,168,168,168,168,10,0,96,A lot,Some college,Rap/Hip hop,Super strength,Rich,Sports person,International aid
USA,FL,2019,12,Male,18.0,Right-Handed,167,24,168,2,Bus,20,0.706,61.67,,800.0,800.0,800.0,800.0,300.0,300.0,24,Same length,75,80,Ring finger,February,Fall,No,No,Meat,Water,Other,7,10,5.0,Yes - dial-up connection,In person,9,9,30,1,10,40,10,25,10,2,30,20,0,5,Very little,Graduate degree,Other,Telepathy,Happy,Relative,"Wildlife, animals"
USA,FL,2016,12,Female,17.0,Right-Handed,163,21.1,164.7,1,Car,35,,,Basketball,700.0,300.0,400.0,500.0,1000.0,1000.0,21.7,Left foot,8.5,8.6,Ring finger,July,Fall,No,No,Pizza/Pasta,Soft drink (caffeinated),History,7,8,5.0,Yes - broadband connection,Cell phone,50,150,20,0,15,8,8,4,10,5,5,5,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Musician or singer,International aid
USA,GA,2011,6,Male,11.0,Right-Handed,155,24,158,1,Bus,20,.39,71,Swimming,348.0,299.0,299.0,,599.0,652.0,24,Same length,43,50,Ring finger,April,Winter,Yes,No,Desserts,Milk,Social studies,8,8,4.0,Yes - broadband connection,In person,0,0,35,0,28,24,0,0,0,0,0,0,0,0,A lot,Graduate degree,Techno/Electronic,Invisibility,Happy,Other,"Arts, culture, sports"
USA,DE,2021,12,Male,17.0,Right-Handed,177.8,24.13,170.1,1,Bus,30,.4,43,,990.0,970.0,850.0,910.0,900.0,1000.0,24.13,Same length,80,80,Same length,December,Summer,No,No,No favorite,Water,History,7,9,7.0,Yes - other,Text messaging,20,20,7,1,3,5,0,30,10,5,100,2,16,2,Some,Graduate degree,Rock and roll,Freeze time,Happy,Relative,International aid
USA,GA,2013,12,Male,17.0,Right-Handed,176.5,26.5,181,1,Car,20,.432,34,Other,0.0,0.0,50.0,875.0,500.0,700.0,26,Right foot,99,105,Ring finger,November,Summer,No,No,Meat,Water,Other,7,9,5.0,Yes - broadband connection,In person,10,10,6,1,4,10,7,7,1,3,5,7,20,10,Some,Some college,Country,Freeze time,Happy,Other,Other
USA,GA,2019,6,Male,12.0,Right-Handed,152.4,24,152.4,1,Bus,45,0.389,33,Gymnastics,551.0,465.0,508.0,508.0,1000.0,1000.0,22,Right foot,60,60,Same length,March,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Physical education,6,5,4.0,Yes - broadband connection,Text messaging,100,400,6,.5,1,1,5,5,5,6,6,6,0,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Other,Other
USA,FL,2020,12,Female,18.0,Right-Handed,170,26,171,1,Car,20,.371,47,Other,500.0,500.0,500.0,500.0,1000.0,1000.0,26,Same length,81,89,Ring finger,December,Winter,Yes,No,Desserts,Water,Other,7,10,6.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,50,8,3,2,10,4,0,10,5,10,2,2,2,Very little,Undergraduate degree,Pop,Fly,Happy,Relative,Religious
USA,FL,2023,11,Female,16.0,Right-Handed,5'4,23 cm,30 cm,1,Other,3,0.807,,Hockey (Ice),1.0,1.0,1.0,1000.0,1000.0,1000.0,23,Same length,7,7,Ring finger,November,Fall,No,No,Rice/Noodle dishes,Soft drink (caffeinated),Physical education,8,5,6.0,Yes - other,Internet chat or instant messaging,100,200,5,5,1,1,1,1,1,3,2,1,20,1,A lot,Graduate degree,,Invisibility,Rich,Actor,"Wildlife, animals"
USA,FL,2016,7,Female,12.0,Right-Handed,170.2,24.6,152.4,1,Car,10,,,Soccer,897.0,220.0,534.0,732.0,872.0,999.0,24.6,Same length,7.6,7.6,Same length,December,Spring,No,No,Pizza/Pasta,Sports drink,Mathematics and statistics,8,6,4.0,Yes - broadband connection,Internet chat or instant messaging,5,7,40,5,5,10,15,4,6,2,8,2,0,1.5,Some,Graduate degree,Pop,Super strength,Rich,Relative,Health
USA,GA,2023,12,Female,16.0,Right-Handed,169,24,168,1,Car,,.377,38,Swimming,727.0,492.0,492.0,668.0,900.0,900.0,23,Right foot,70,68,Index finger,June,Summer,Yes,No,Pizza/Pasta,Water,History,7,9,3.0,Yes - broadband connection,Internet chat or instant messaging,15,42,10,1,5,5,5,0,5,8,40,5,10,5,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Other
USA,DE,2011,11,Male,16.0,Right-Handed,181.6,28,181.5,1,Car,10,.339,54,Baseball/Softball,385.0,604.0,759.0,,588.0,690.0,28,Same length,90 ,89,Index finger,February,Summer,No,No,Meat,Juice,History,7.5,10,5.0,Yes - broadband connection,In person,25,25,17,.5,14,5,12,0,7,2,14,8,0,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Education/Youth development
USA,FL,2020,11,Male,16.0,Right-Handed,178,28,174,1,Car,35,0.444,67,Tennis,1000.0,1000.0,1000.0,1000.0,900.0,950.0,28,Same length,102,109,Ring finger,March,Spring,No,No,Seafood,Water,Geography,5,9,4.0,Yes - broadband connection,Text messaging,45,70,6,2,31,3,4,3,4,11,60,2,0,1,A lot,Graduate degree,Other,Invisibility,Rich,Relative,Environment
USA,GA,2018,9,Male,14.0,Right-Handed,154,234.8,152,1,Walk,10,0.35,49,Baseball/Softball,652.0,658.0,1000.0,1000.0,53.0,59.0,151,Same length,6,5.5,Index finger,August,Summer,Yes,No,Meat,Water,History,9,12,5.0,Yes - other,Text messaging,0,0,7,0,0,0,0,12,12,12,20,0,0,0,A lot,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,FL,2021,12,Male,17.0,Right-Handed,184,27,185,1,Car,30,0.32,44,Lacrosse,500.0,500.0,500.0,500.0,1000.0,1000.0,30,Same length,9,9,Same length,January,Spring,No,No,Meat,Water,History,7,9,4.0,Yes - broadband connection,In person,13,15,24,1,5,10,10,8,7,1,20,8,0,2,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,Health
USA,FL,2023,12,Male,18.0,Right-Handed,182,25.4,183,2,Car,20,.705,38,Lacrosse,200.0,100.0,300.0,400.0,100.0,100.0,25.4,Same length,80,70,Ring finger,May,Summer,Yes,No,Meat,Water,English,7,12,5.0,Yes - other,In person,5,5,7,1,2,8,12,1,4,1,1,1,3,0,Some,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Other
USA,GA,2018,8,Male,13.0,Right-Handed,170,25,168,3,Walk,30,.401,39,Other,898.0,829.0,624.0,920.0,240.0,467.0,25,Same length,100,110,Ring finger,October,Fall,Yes,No,Rice/Noodle dishes,Water,Computers and technology,10,9,3.0,Yes - other,In person,2,2,6,1,5,4,0,10,0,.5,24,3,0,.3,Some,Less than high school,Punk rock,Invisibility,Happy,Business person,"Arts, culture, sports"
USA,GA,2018,9,Male,14.0,Right-Handed,168,25,160,1,Car,12,0.422,43,Athletics,513.0,717.0,722.0,385.0,1000.0,1000.0,25,Same length,65,67,Ring finger,May,Summer,Yes,No,No favorite,Water,Physical education,7,9,4.0,Yes - broadband connection,Text messaging,0,1,0,0,2,3,8,0,0,0,2,9,0,1,A lot,Graduate degree,Rock and roll,Freeze time,Rich,Actor,Health
USA,FL,2024,11,Male,15.0,Right-Handed,180.3,29.2,180.3,3,Car,8,.253,40,Soccer,176.0,0.0,406.0,446.0,1000.0,1000.0,29.3,Same length,60,50,Index finger,February,Summer,Yes,No,Meat,Sports drink,Physical education,9,9,4.0,Yes - other,Text messaging,40,60,3,5,4,40,100,90,7,6,90,1,5,9,,Graduate degree,Rap/Hip hop,Telepathy,Famous,Sports person,"Wildlife, animals"
USA,DE,2016,12,Male,18.0,Right-Handed,175,28,180,1,Car,35,.68,41,Other,9000.0,6000.0,3000.0,3000.0,2000.0,7000.0,28,Same length,70,80,Ring finger,January,Winter,No,No,Meat,Milk,History,7,7,3.0,Yes - other,Text messaging,30,20,10,2,5,10,10,1,2,1,4,5,9,5,A lot,Graduate degree,Rock and roll,Super strength,Happy,Relative,Health
USA,FL,2018,12,Male,17.0,Right-Handed,182.5,31.25,,1,Car,10,.696,49,Football (American),750.0,700.0,700.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2024,12,Female,17.0,Right-Handed,165,24,164,1,Car,15,0.445,48,Running/Jogging,300.0,800.0,700.0,700.0,700.0,700.0,23,Right foot,70,75,Ring finger,September,Summer,Yes,No,Fruit,Coffee,Mathematics and statistics,6,11,4.0,Yes - broadband connection,In person,15,25,30,1,7,12,12,0,15,3,20,5,0,9,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,International aid
USA,DE,2013,12,Male,16.0,Right-Handed,175,25,172,1,Bus,15,.33,43,Soccer,663.0,278.0,1000.0,449.0,139.0,43.0,26,Left foot,90,92,Index finger,June,Spring,No,No,Rice/Noodle dishes,Milk,Mathematics and statistics,6.5,8,4.0,Yes - broadband connection,Text messaging,80,85,8,0,16,7,14,1,1,21,7,7,0,4,A lot,Graduate degree,Other,Invisibility,Happy,Teacher,Health
USA,GA,2025,12,Female,17.0,Right-Handed,160,24,162,2,Bus,62,.39,44,Gymnastics,572.0,289.0,604.0,711.0,904.0,1000.0,24,Same length,85,80,Index finger,March,Summer,Yes,No,Seafood,Water,Other,8,13,4.0,Yes - broadband connection,Text messaging,100,100,6,100,12,28,0,0,0,0,0,0,0,0,Some,Graduate degree,Other,Super strength,Happy,Relative,Health
USA,GA,2015,11,Male,16.0,Right-Handed,172,26,76,1,Car,8,.644,39,Other,800.0,800.0,900.0,900.0,900.0,900.0,26,Same length,85,79,Index finger,October,Summer,No,No,Seafood,Water,Physical education,7,10,4.0,Yes - broadband connection,In person,15,15,8,1,3,10,10,0,3,6,1,8,0,1,Some,Graduate degree,Country,Freeze time,Happy,Relative,Health
USA,GA,2018,6,Male,12.0,Right-Handed,152,25,76,2,Car,6,2.541,64,Basketball,738.0,1000.0,545.0,813.0,1000.0,1000.0,24,Same length,102,102,Same length,September,Summer,No,No,Poultry,Water,Mathematics and statistics,9,12,4.0,Yes - broadband connection,In person,0,0,1,0,4,3,1,2,0,0,1,1,0,1,Very little,Graduate degree,Pop,Telepathy,Healthy,Sports person,"Wildlife, animals"
USA,GA,2022,12,Male,17.0,Right-Handed,185,25,160,1,Car,7,0.326,44,Tennis,829.0,604.0,348.0,455.0,364.0,428.0,25,Same length,101,100,Same length,May,Fall,Yes,No,Meat,Water,Music,9,7,4.0,Yes - broadband connection,Text messaging,7,6,3,0,0,1,6,2,1,.5,16,3,0,0,Very little,Undergraduate degree,Jazz,Fly,Rich,Relative,"Arts, culture, sports"
USA,GA,2023,12,Male,17.0,Left-Handed,189,11.5,188,1,Car,20,.366,37,Martial Arts,369.0,578.0,385.0,604.0,0.0,1000.0,11.5,Same length,90,70,Index finger,April,Winter,No,No,No favorite,Water,History,5,8-12,5.0,Yes - broadband connection,Text messaging,27,34,24,15,0,17,23,2,30,21,13,0,20,0,Very little,High school,Other,Telepathy,Rich,Sports person,International aid
USA,GA,2010,11,Female,17.0,Right-Handed,172,22.1,174,1,Car,27,.297,37,Gymnastics,668.0,813.0,909.0,,663.0,845.0,22.2,Left foot,9,8.7,Index finger,July,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Art,7,11,4.0,Yes - other,Text messaging,35,37 ,25,4,20,15,20,0,8,8,9,6,0,4,Some,Undergraduate degree,Techno/Electronic,Telepathy,Happy,Relative,Health
USA,GA,2017,6,Male,11.0,Right-Handed,5.4,28,63,1,Car,5,12,14,Basketball,1000.0,900.0,955.0,500.0,2.0,1.0,63,Same length,6,8,Ring finger,February,Summer,No,No,Seafood,Water,Science,10,8,4.0,Yes - other,Cell phone,512,322,3,1,1,5,4,2,2,2,1,1,1,1,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,"Arts, culture, sports"
USA,FL,2018,12,Male,17.0,Left-Handed,173,28,181,2,Car,30,0.464,37,Soccer,500.0,650.0,350.0,550.0,650.0,700.0,27,Right foot,80,80,Same length,January,Fall,No,No,No favorite,Water,Music,5,10,5.0,Yes - other,Text messaging,50,50,6,1,1,8,10,3,5,5,4,6,0,0,,Graduate degree,Other,Freeze time,Happy,Relative,International aid
USA,FL,2022,12,Female,18.0,Left-Handed,173,26,184,1,Car,15,0.302,36,Tennis,738.0,551.0,348.0,225.0,1000.0,1000.0,27,Left foot,95,95,Same length,December,Winter,No,No,Meat,Water,English,8,10,4.0,Yes - broadband connection,Text messaging,20,25,20,12,8,10,2,1,5,2,29,5,5,1,Very little,Graduate degree,Country,Telepathy,Happy,Friend,Religious
USA,FL,2019,11,Male,16.0,Right-Handed,168,27.5,178,2,Car,8 min,0.401,39,Basketball,850.0,898.0,1000.0,909.0,529.0,700.0,26.5,Right foot,7.5,8,Ring finger,June,Winter,No,No,Rice/Noodle dishes,Water,Social studies,8,10,4.0,Yes - broadband connection,,6,20+,30,1,20,4,1,2,7,5,9,15,0,2,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Health
USA,FL,2013,12,Female,17.0,Right-Handed,170,24,170,1,Car,20,0.872,37,Other,500.0,100.0,100.0,100.0,1000.0,1000.0,24.5,Left foot,65,70,Ring finger,December,Summer,No,No,Pizza/Pasta,Water,Physical education,6,4,4.0,Yes - other,Text messaging,100,100,15,1,5,2,15,0,4,21,10,1,0,1,Some,Graduate degree,Country,Fly,Happy,Friend,"Arts, culture, sports"
USA,GA,2020,12,Female,17.0,Right-Handed,170.1,24.13,74.93,2,Car,10,0.419,43,Walking/Hiking,877.0,348.0,364.0,348.0,209.0,888.0,24.15,Left foot,11.17,10.16,Index finger,July,Fall,No,No,Other,Water,Art,7,10,2.0,Yes - broadband connection,Internet chat or instant messaging,15,20,8,1,0,30,0,5,84,90,94,20,24,3,Very little,Graduate degree,Heavy metal,Freeze time,Rich,Other,Environment
